date,time,amount,direction,counterparty,description,ref_id,category
2024-09-02,19:02,17734,debit,Flipkart,Payment related to Flipkart,UTR100000,Shopping
2024-09-04,11:48,17785,debit,Uber,Payment related to Uber,UTR100001,Transport
2024-09-04,23:55,40113,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100002,Salary
2024-09-04,12:56,3896,debit,Airtel,Payment related to Airtel,UTR100003,Bills
2024-09-06,09:46,8167,debit,Self Account,Payment related to Self Account,UTR100004,Transfer
2024-09-06,20:06,19836,debit,Myntra,Payment related to Myntra,UTR100005,Shopping
2024-09-06,07:56,49949,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100006,Salary
2024-09-07,20:41,21433,debit,Flat Rent,Payment related to Flat Rent,UTR100007,Rent
2024-09-10,11:58,6166,debit,Amazon,Payment related to Amazon,UTR100008,Shopping
2024-09-10,22:02,12352,debit,Zomato,Payment related to Zomato,UTR100009,Food
2024-09-10,09:08,29727,debit,SBI Securities,Payment related to SBI Securities,UTR100010,Investment
2024-09-12,14:59,14230,debit,Zepto,Payment related to Zepto,UTR100011,Groceries
2024-09-12,03:37,47806,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100012,Salary
2024-09-12,10:42,30760,debit,SBI Securities,Payment related to SBI Securities,UTR100013,Investment
2024-09-13,14:05,12054,debit,BookMyShow,Payment related to BookMyShow,UTR100014,Entertainment
2024-09-13,21:53,7809,debit,Hotstar,Payment related to Hotstar,UTR100015,Entertainment
2024-09-13,10:59,2141,debit,Airtel,Payment related to Airtel,UTR100016,Bills
2024-09-14,19:39,18446,debit,TNEB,Payment related to TNEB,UTR100017,Bills
2024-09-14,17:29,938,debit,BookMyShow,Payment related to BookMyShow,UTR100018,Entertainment
2024-09-15,16:25,17289,debit,Self Account,Payment related to Self Account,UTR100019,Transfer
2024-09-15,23:27,8364,debit,Zomato,Payment related to Zomato,UTR100020,Food
2024-09-15,06:50,15096,debit,Hotstar,Payment related to Hotstar,UTR100021,Entertainment
2024-09-16,02:20,7471,debit,BSNL,Payment related to BSNL,UTR100022,Bills
2024-09-17,20:57,11194,debit,TNEB,Payment related to TNEB,UTR100023,Bills
2024-09-19,21:35,4219,debit,BSNL,Payment related to BSNL,UTR100024,Bills
2024-09-21,21:16,7634,debit,Flat Rent,Payment related to Flat Rent,UTR100025,Rent
2024-09-21,02:32,13853,debit,BigBasket,Payment related to BigBasket,UTR100026,Groceries
2024-09-22,19:38,7139,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100027,Salary
2024-09-22,09:22,42162,debit,Mutual Fund,Payment related to Mutual Fund,UTR100028,Investment
2024-09-22,18:45,1499,debit,BSNL,Payment related to BSNL,UTR100029,Bills
2024-09-23,17:46,8513,debit,Myntra,Payment related to Myntra,UTR100030,Shopping
2024-09-23,04:41,10127,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100031,Salary
2024-09-23,06:45,9964,debit,Uber,Payment related to Uber,UTR100032,Transport
2024-09-24,06:05,19420,debit,Friend Transfer,Payment related to Friend Transfer,UTR100033,Transfer
2024-09-25,18:26,21744,debit,Flat Rent,Payment related to Flat Rent,UTR100034,Rent
2024-09-25,01:54,357,debit,Uber,Payment related to Uber,UTR100035,Transport
2024-09-26,14:07,19037,debit,Amazon,Payment related to Amazon,UTR100036,Shopping
2024-09-26,11:39,42213,debit,SBI Securities,Payment related to SBI Securities,UTR100037,Investment
2024-09-26,07:25,9571,debit,Self Account,Payment related to Self Account,UTR100038,Transfer
2024-09-30,18:28,17380,debit,Hotstar,Payment related to Hotstar,UTR100039,Entertainment
2024-09-30,12:14,19117,debit,BigBasket,Payment related to BigBasket,UTR100040,Groceries
2024-10-01,11:35,38830,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100041,Salary
